,Film,Genre,Genre_order
0,Inception,Action,1
1,Inception,Adventure,2
2,Inception,Thriller,3
3,Good Will Hunting,Drama,1
4,Good Will Hunting,Romance,2
5,Cabin in the Woods,Horror,1
6,Cabin in the Woods,Mystery,2
7,Cabin in the Woods,Thriller,3
8,Independence Day,Action,1
9,Independence Day,Adventure,2
10,Spotlight,Biography,1
11,Spotlight,Crime,2
12,Spotlight,Drama,3
13,Der Untergang,Biography,1
14,Der Untergang,Drama,2
15,Der Untergang,History,3
16,Der Untergang,War,4
17,V For Vendetta,Action,1
18,V For Vendetta,Drama,2
19,V For Vendetta,Thriller,3
20,Cast Away,Adventure,1
21,Cast Away,Drama,2
22,Cast Away,Romance,3
23,Tombstone,Biography,1
24,Tombstone,Drama,2
25,Tombstone,History,3
26,Tombstone,Western,4
27,John Wick,Action,1
28,John Wick,Crime,2
29,John Wick,Thriller,3
30,John Wick: Chapter 2,Action,1
31,John Wick: Chapter 2,Crime,2
32,John Wick: Chapter 2,Thriller,3
33,John Wick: Chapter 3: Parabellum,Action,1
34,John Wick: Chapter 3: Parabellum,Crime,2
35,John Wick: Chapter 3: Parabellum,Thriller,3
36,Das Boot Director's Cut,Drama,1
37,Das Boot Director's Cut,War,2
38,Gangs of New York,Crime,1
39,Gangs of New York,Drama,2
40,Tropic Thunder,Action,1
41,Tropic Thunder,Comedy,2
42,Tropic Thunder,War,3
43,The Dark Knight,Action,1
44,The Dark Knight,Crime,2
45,The Dark Knight,Drama,3
46,The Dark Knight,Thriller,4
47,Leon: The Professional,Action,1
48,Leon: The Professional,Crime,2
49,Leon: The Professional,Drama,3
50,Leon: The Professional,Thriller,4
51,Whiplash,Drama,1
52,Whiplash,Music,2
53,Rush Hour,Action,1
54,Rush Hour,Comedy,2
55,Rush Hour,Crime,3
56,Rush Hour,Thriller,4
57,Spider-Man: Into the Spider-Verse,Animation,1
58,Spider-Man: Into the Spider-Verse,Action,2
59,Spider-Man: Into the Spider-Verse,Adventure,3
60,Spider-Man: Into the Spider-Verse,Comedy,4
61,Spider-Man: Into the Spider-Verse,Family,5
62,Spider-Man: Into the Spider-Verse,Fantasy,6
63,Ford v Ferrari,Action,1
64,Ford v Ferrari,Biography,2
65,Ford v Ferrari,Drama,3
66,Ford v Ferrari,Sport,4
67,Team America World Police,Action,1
68,Team America World Police,Comedy,2
69,The Founder,Biography,1
70,The Founder,Drama,2
71,Airplane!,Comedy,1
72,Kill Bill Vol 1,Action,1
73,Kill Bill Vol 1,Crime,2
74,Kill Bill Vol 1,Drama,3
75,Kill Bill Vol 1,Thriller,4
76,Kill Bill Vol 2,Action,1
77,Kill Bill Vol 2,Crime,2
78,Kill Bill Vol 2,Thriller,3
79,Karate Kid,Action,1
80,Karate Kid,Drama,2
81,Karate Kid,Family,3
82,Karate Kid,Sport,4
83,The Incredibles,Animation,1
84,The Incredibles,Action,2
85,The Incredibles,Adventure,3
86,The Incredibles,Family,4
87,Schindler's List,Biography,1
88,Schindler's List,Drama,2
89,Schindler's List,History,3
90,Hero,Animation,1
91,Hero,Action,2
92,Hero,Adventure,3
93,Hero,Fantasy,4
94,Scott Pilgrim vs the World,Action,1
95,Scott Pilgrim vs the World,Comedy,2
96,Scott Pilgrim vs the World,Fantasy,3
97,Scott Pilgrim vs the World,Romance,4
98,Gladiator,Action,1
99,Gladiator,Adventure,2
100,Gladiator,Drama,3
101,Citizen Kane,Drama,1
102,Citizen Kane,Mystery,2
103,The Hunt for Red October,Action,1
104,The Hunt for Red October,Adventure,2
105,The Hunt for Red October,Thriller,3
106,A Few Good Men,Drama,1
107,A Few Good Men,Thriller,2
108,American History X,Crime,1
109,American History X,Drama,2
110,Hot Fuzz,Action,1
111,Hot Fuzz,Comedy,2
112,Hot Fuzz,Mystery,3
113,Hot Fuzz,Thriller,4
114,2001: A Space Odyssey,Adventure,1
115,The Thing,Horror,1
116,The Thing,Mystery,2
117,Ghostbusters,Action,1
118,Ghostbusters,Comedy,2
119,Ghostbusters,Fantasy,3
120,Alien,Horror,1
121,12 Years A Slave,Biography,1
122,12 Years A Slave,Drama,2
123,12 Years A Slave,History,3
124,Batman & Robin,Action,1
125,Creed,Action,1
126,Creed,Drama,2
127,Creed,Sport,3
128,The Deer Hunter,Drama,1
129,The Deer Hunter,War,2
130,Oldboy,Action,1
131,Oldboy,Drama,2
132,Oldboy,Mystery,3
133,Oldboy,Thriller,4
134,American Beauty,Drama,1
135,The Matrix,Action,1
136,The Matrix Reloaded,Action,1
137,The Big Lebowski,Comedy,1
138,The Big Lebowski,Crime,2
139,Borat,Comedy,1
140,The Lighthouse,Comedy,1
141,The Lighthouse,Drama,2
142,The Lighthouse,Fantasy,3
143,The Lighthouse,Mystery,4
144,The Lighthouse,Thriller,5
145,Anchorman,Comedy,1
146,The Warriors,Action,1
147,The Warriors,Crime,2
148,The Warriors,Thriller,3
149,Monty Python and the Holy Grail,Adventure,1
150,Monty Python and the Holy Grail,Comedy,2
151,Monty Python and the Holy Grail,Fantasy,3
152,Spider-Man: Far From Home,Action,1
153,Spider-Man: Far From Home,Adventure,2
154,Spider-Man: No Way Home,Action,1
155,Spider-Man: No Way Home,Adventure,2
156,Spider-Man: No Way Home,Fantasy,3
157,The Prestige,Drama,1
158,The Prestige,Mystery,2
159,The Prestige,Thriller,3
160,Ghandi,Short,1
161,Ocean's Eleven,Crime,1
162,Ocean's Eleven,Thriller,2
163,Ace Ventura: Pet Detective,Comedy,1
164,A Bridge Too Far,Drama,1
165,A Bridge Too Far,History,2
166,A Bridge Too Far,War,3
167,The Batman,Action,1
168,The Batman,Crime,2
169,The Batman,Drama,3
170,The Batman,Thriller,4
171,Tenacious D in the Pick of Destiny,Adventure,1
172,Tenacious D in the Pick of Destiny,Comedy,2
173,Tenacious D in the Pick of Destiny,Music,3
174,Tenacious D in the Pick of Destiny,Musical,4
175,Django: Unchained,Drama,1
176,Django: Unchained,Western,2
177,Baby Driver,Action,1
178,Baby Driver,Crime,2
179,Baby Driver,Drama,3
180,Baby Driver,Music,4
181,The Big Short,Biography,1
182,The Big Short,Comedy,2
183,The Big Short,Drama,3
184,The Big Short,History,4
185,Kung Fury,Short,1
186,Kung Fury,Action,2
187,Kung Fury,Comedy,3
188,Kung Fury,Fantasy,4
189,Superbad,Comedy,1
190,Casablanca,Drama,1
191,Casablanca,Romance,2
192,Casablanca,War,3
193,Blade Runner,Action,1
194,Blade Runner,Drama,2
195,Blade Runner,Mystery,3
196,Blade Runner,Thriller,4
197,Blade Runner 2049,Action,1
198,Blade Runner 2049,Drama,2
199,Blade Runner 2049,Mystery,3
200,Blade Runner 2049,Thriller,4
201,The Room,Drama,1
202,The Disaster Artist,Biography,1
203,The Disaster Artist,Comedy,2
204,The Disaster Artist,Drama,3
205,Megamind,Animation,1
206,Megamind,Action,2
207,Megamind,Comedy,3
208,Megamind,Crime,4
209,Megamind,Family,5
210,Megamind,Mystery,6
211,Megamind,Thriller,7
212,Paul,Documentary,1
213,Paul,Comedy,2
214,Paul,Drama,3
215,Top Gun,Action,1
216,Top Gun,Drama,2
217,Ali,Biography,1
