,aspect ratio,Budget,Cumulative Worldwide Gross,director,genres,year,rating,votes,synopsis,box office
Inception,2.39 : 1,"$160,000,000 (estimated)","$825,532,764, 06 Jan 2011",[<Person id:0634240[http] name:_Christopher Nolan_>],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2010,8.8,2367898,,
Good Will Hunting,1.85 : 1,"$10,000,000 (estimated)","$225,933,435",[<Person id:0001814[http] name:_Gus Van Sant_>],"['Drama', 'Romance']",1997,8.3,980684,,
Cabin in the Woods,2.40 : 1,"$30,000,000 (estimated)","$70,768,144",[<Person id:1206844[http] name:_Drew Goddard_>],"['Horror', 'Mystery', 'Thriller']",2011,7.0,424053,,
Independence Day,2.20 : 1 (70 mm print),"$75,000,000 (estimated)",,[<Person id:0000386[http] name:_Roland Emmerich_>],"['Action', 'Adventure', 'Sci-Fi']",1996,7.0,579929,,
Spotlight,1.85 : 1,"$20,000,000 (estimated)","$98,275,238",[<Person id:0565336[http] name:_Tom McCarthy_>],"['Biography', 'Crime', 'Drama']",2015,8.1,474195,,
Der Untergang,1.85 : 1,"EUR13,500,000 (estimated)","$92,180,910, 02 Nov 2013",[<Person id:0386570[http] name:_Oliver Hirschbiegel_>],"['Biography', 'Drama', 'History', 'War']",2004,8.2,358708,,
V For Vendetta,2.35 : 1,"$54,000,000 (estimated)","$132,511,035, 06 Jul 2012",[<Person id:0574625[http] name:_James McTeigue_>],"['Action', 'Drama', 'Sci-Fi', 'Thriller']",2005,8.2,1128243,,
Cast Away,1.85 : 1,"$90,000,000 (estimated)","$429,632,142, 22 Jul 2001",[<Person id:0000709[http] name:_Robert Zemeckis_>],"['Adventure', 'Drama', 'Romance']",2000,7.8,598611,,
Tombstone,2.35 : 1,"$25,000,000 (estimated)",,"[<Person id:0181902[http] name:_George P. Cosmatos_>, <Person id:0418883[http] name:_Kevin Jarre_>]","['Biography', 'Drama', 'History', 'Western']",1993,7.8,152406,,
John Wick,2.39 : 1,"$20,000,000 (estimated)","$130,888,901","[<Person id:0821432[http] name:_Chad Stahelski_>, <Person id:0500610[http] name:_David Leitch_>]","['Action', 'Crime', 'Thriller']",2014,7.4,642132,,
